fid,nome,geometriaaproximada,geocodigo,anodereferencia
1,Acajutiba,Não,"2900306",
2,Aporá,Não,"2901908",
3,Campestre do Maranhão,Não,"2102556",
4,Porto Murtinho,Não,"5006903",
5,Pimenteiras do Oeste,Não,"1101468",
6,Santa Maria de Itabira,Não,"3158003",
7,Fátima,Não,"2910750",
8,Carapicuíba,Não,"3510609",
9,Salto de Pirapora,Não,"3545308",
10,Taguaí,Não,"3553005",
11,Boituva,Não,"3507001",
12,Encruzilhada,Não,"2910404",
13,Divinolândia de Minas,Não,"3122207",
14,Jacinto,Não,"3134707",
15,Padre Carvalho,Não,"3146255",
16,Cristália,Não,"3120300",
17,Felisburgo,Não,"3125606",
18,Aurilândia,Não,"5202601",
19,Tesouro,Não,"5108105",
20,Francisco Sá,Não,"3126703",
21,Rubim,Não,"3156601",
22,Pavussu,Não,"2207850",
23,São Francisco do Guaporé,Não,"1101492",
24,Campo Belo do Sul,Não,"4203402",
25,Congonhas,Não,"3118007",
26,Vale do Anari,Não,"1101757",
27,Adrianópolis,Não,"4100202",
28,Jaguaruna,Não,"4208807",
29,Ibiúna,Não,"3519709",
30,Nova Brasilândia,Não,"5106208",
31,Codó,Não,"2103307",
32,Itinga,Não,"3134004",
33,São Luís de Montes Belos,Não,"5220108",
34,Moiporá,Não,"5213400",
35,Palestina de Goiás,Não,"5215652",
36,Curvelo,Não,"3120904",
37,Campo Azul,Não,"3111150",
38,Piranhas,Não,"5217203",
39,Torixoréu,Não,"5108204",
40,Córrego do Ouro,Não,"5205703",
41,Eunápolis,Não,"2910727",
42,Mesquita,Não,"3302858",
43,Cambuquira,Não,"3110707",
44,Conceição do Rio Verde,Não,"3117702",
45,Cruzília,Não,"3120805",
46,Sabáudia,Não,"4122701",
47,Cajamar,Não,"3509205",
48,Caieiras,Não,"3509007",
49,Pirapora do Bom Jesus,Não,"3539103",
50,Tejupá,Não,"3554201",
51,Piatã,Não,"2924306",
52,Abaíra,Não,"2900108",
53,Cavalcante,Não,"5205307",
54,Arraias,Não,"1702406",
55,Santana,Não,"2928208",
56,Santa Maria da Vitória,Não,"2928109",
57,Paramirim,Não,"2923605",
58,Iramaia,Não,"2914307",
59,Rio de Contas,Não,"2926707",
60,Minaçu,Não,"5213087",
61,Trombas,Não,"5221452",
62,Colorado do Oeste,Não,"1100064",
63,Alto Paraíso de Goiás,Não,"5200605",
64,Montividiu do Norte,Não,"5213772",
65,Igrapiúna,Não,"2913457",
66,Macaúbas,Não,"2919801",
67,São Desidério,Não,"2928901",
68,Paratinga,Não,"2923704",
69,Sítio do Mato,Não,"2930758",
70,Araguaçu,Não,"1702000",
71,Iaçu,Não,"2911907",
72,Campos Belos,Não,"5204904",
73,Baianópolis,Não,"2902500",
74,Boa Vista do Tupim,Não,"2903805",
75,Ibipitanga,Não,"2912509",
76,Estrela do Norte,Não,"5207501",
77,Carlos Barbosa,Não,"4304804",
